No,Driver Name,Driver Rating,Driver Number = Rating,Speed Rating,Short Rating,Super Rating,Road Rating,Quality Rating,Trouble Rating,Poles,Wins,Top 5,Top 10,Races,DNF,Speed Table,Short Table,Super Table,Road Table
#14,Tony Stewart,A,#14-Tony Stewart-A,A,B,A,D,B,A,1,5,9,19,36,1,20 20 20 20 19 1,25 20 20 20 14 1,20 20 20 20 19 1,35 20 20 20 2 3
#99,Carl Edwards,A,#99-Carl Edwards-A,A,A,A,A,A,A,4,1,19,26,36,0,20 20 20 20 19 1,20 20 20 20 19 1,20 20 20 20 19 1,20 20 20 20 19 1
#29,Kevin Harvick,A,#29-Kevin Harvick-A,A,A,C,A,C,A,0,4,9,19,36,1,20 20 20 20 19 1,20 20 20 20 19 1,30 20 20 20 7 3,20 20 20 20 19 1
#17,Matt Kenseth,A,#17-Matt Kenseth-A,A,B,D,B,A,B,3,3,12,20,36,3,20 20 20 20 18 2 ,25 20 20 20 14 1 ,35 20 20 20 1 4 ,25 20 20 20 14 1 
#2,Brad Keselowski,B,#2-Brad Keselowski-B ,B,B,C,A,A,A,1,3,10,14,36,1,25 20 20 20 14 1,25 20 20 20 14 1,30 20 20 20 7 3,20 20 20 20 19 1
#48,Jimmie Johnson,A,#48-Jimmie Johnson-A ,A,A,B,A,A,A,1,2,14,21,36,2,20 20 20 20 17 3,20 20 20 20 19 1,25 20 20 20 14 1,20 20 20 20 19 1
#88,Dale Earnhardt Jr.,A,#88-Dale Earnhardt Jr.-A ,A,A,B,D,C,A,1,0,4,12,36,2,20 20 20 20 17 3,20 20 20 20 18 2,20 20 20 20 19 1,20 20 20 20 19 1
#24,Jeff Gordon,A,#24-Jeff Gordon-A,A,A,A,A,A,B,1,3,13,18,36,3,20 20 20 20 17 3,20 20 20 20 18 2,20 20 20 20 19 1,20 20 20 20 19 1
#11,Denny Hamlin,A,#11-Denny Hamlin-A,B,A,A,E,B,A,0,1,5,14,36,2,25 20 20 20 13 2,20 20 20 20 19 1,20 20 20 20 19 1,40 20 20 17 0 3
#39,Ryan Newman,A,#39-Ryan Newman-A,A,A,E,B,A,A,3,1,9,17,36,0,20 20 20 20 19 1,20 20 20 20 19 1,40 20 20 18 0 2,25 20 20 20 13 2
#22,Kurt Busch,A,#22-Kurt Busch-A,A,A,B,B,A,B,3,2,8,16,36,3,20 20 20 20 18 2,20 20 20 20 19 1,25 20 20 20 12 3,25 20 20 20 12 3
#18,Kyle Busch,A,#18-Kyle Busch-A,A,A,C,A,B,C,2,4,14,18,35,4,20 20 20 20 17 3 ,20 20 20 20 19 1 ,30 20 20 20 7 3 ,20 20 20 20 19 1 
#33,Clint Bowyer,B,#33-Clint Bowyer-B ,B,C,A,A,B,D,0,1,4,16,36,6,25 20 20 20 11 4,30 20 20 20 8 2,20 20 20 20 17 3,20 20 20 20 19 1
#4,Kasey Kahne,B,#4-Kasey Kahne-B ,A,C,B,C,A,C,2,1,8,15,36,4,20 20 20 20 17 3,30 20 20 20 7 3,25 20 20 20 14 1,30 20 20 20 8 2
#43,A J Allmendinger,B,#43-A J Allmendinger-B ,B,B,A,B,A,A,0,0,1,10,36,1,25 20 20 20 13 2,25 20 20 20 14 1,25 20 20 20 12 3,30 20 20 20 8 2
#16,Greg Biffle,B,#16-Greg Biffle-B,B,B,B,C,B,A,3,0,3,10,36,2,25 20 20 20 13 2,25 20 20 20 14 1,25 20 20 20 12 3,30 20 20 20 8 2
#27,Paul Menard,B,#27-Paul Menard-B,B,D,A,C,A,A,0,1,4,8,36,2,25 20 20 20 14 1,35 20 20 20 3 2,20 20 20 20 19 1,30 20 20 20 7 3
#56,Martin Truex Jr.,B,#56-Martin Truex Jr.-B,B,C,C,A,B,B,1,0,3,12,36,3,25 20 20 20 13 2,30 20 20 20 8 2,30 20 20 20 7 3,20 20 20 20 19 1
#9,Marcos Ambrose,B,#9-Marcos Ambrose-B,B,C,E,A,B,A,0,1,5,12,36,1,25 20 20 20 13 2,30 20 20 20 8 2,40 20 20 18 0 2,20 20 20 20 19 1
#31,Jeff Burton,B,#31-Jeff Burton-B,B,B,B,B,C,B,0,0,2,5,36,3,25 20 20 20 12 3 ,25 20 20 20 13 2 ,25 20 20 20 12 3 ,25 20 20 20 14 1 
#42,Juan Pablo Montoya,C,#42-Juan Pablo Montoya-C ,C,B,B,B,C,A,2,0,2,8,36,0,30 20 20 20 9 1,25 20 20 20 13 2,25 20 20 20 14 1,25 20 20 20 14 1
