"#50-T.J. Bell-E                 #35-Stephen Leicht-E             #46-Andy Pilgrim-E              #46-Chris Cook-E"
"E","-","","-","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","","00-39"
"","","13","","40-59"
"00-39","","14","","60-79"
"40-59","","15","","80-94"
"60-79","","16","",""
"80-94","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"95-99","","TR","","95-99"
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","5"
"Top 5","0","","DNF","4"
"-","C","","-","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-29","11","",""
"","30-49","12","",""
"","50-69","13","",""
"","70-89","14","",""
"","90-97","15","",""
"","","16","",""
"","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"","98-99","TR","",""
"Qualify Rating","E"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","0"
"-","-","","-","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","","00-29"
"","","13","","30-49"
"","","14","","50-69"
"","","15","","70-89"
"","","16","","90-97"
"","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"","","TR","","98-99"
"Qualify Rating","E"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","0"
"-","-","","-","C"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","","11","",""
"","","12","","00-29"
"","","13","","30-49"
"","","14","","50-69"
"","","15","","70-89"
"","","16","","90-97"
"","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"","","TR","","98-99"
"Qualify Rating","E"
"Trouble Rating","A"
"Poles","0","","Top 10","0"
"Wins","0","","Races","1"
"Top 5","0","","DNF","0"
