"#21-Trevor Bayne-E            #51-Landon Cassill-E              #38-Travis Kvapil-E               #32-Mike Bliss-E"
"C","D","","D","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","",""
"","55-74","13","",""
"00-29","75-94","14","",""
"30-49","","15","",""
"50-69","","16","00-34",""
"70-89","","17","35-54",""
"90-96","","18","55-74",""
"","","19","75-94",""
"","","20","95-96",""
"97-99","95-99","TR","97-99",""
"Qualify Rating","C"
"Trouble Rating","C"
"Poles","0","","Top 10","1"
"Wins","1","","Races","17"
"Top 5","1","","DNF","3"
"D","E","","E","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","",""
"","60-79","13","",""
"00-34","80-94","14","",""
"35-54","","15","",""
"55-74","","16","00-39",""
"75-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-96",""
"","","20","",""
"95-99","95-99","TR","97-99",""
"Qualify Rating","D"
"Trouble Rating","C"
"Poles","0","","Top 10","0"
"Wins","0","","Races","32"
"Top 5","0","","DNF","6"
"D","D","","E","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","",""
"","55-74","13","",""
"00-34","75-94","14","",""
"35-54","","15","",""
"55-74","","16","00-39",""
"75-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-96",""
"","","20","",""
"95-99","95-99","TR","97-99",""
"Qualify Rating","D"
"Trouble Rating","D"
"Poles","0","","Top 10","0"
"Wins","0","","Races","29"
"Top 5","0","","DNF","8"
"E","D","","-","-"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-34","11","",""
"","35-54","12","",""
"","55-74","13","",""
"00-39","75-94","14","",""
"40-59","","15","",""
"60-79","","16","",""
"80-94","","17","",""
"","","18","",""
"","","19","",""
"","","20","",""
"95-99","95-99","TR","",""
"Qualify Rating","E"
"Trouble Rating","B"
"Poles","0","","Top 10","0"
"Wins","0","","Races","18"
"Top 5","0","","DNF","2"
