"#60-Mike Skinner-E             #87-Joe Nemechek-E"
"E","E","","E","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","","00-39"
"","60-79","13","","40-59"
"00-39","80-94","14","","60-79"
"40-59","","15","","80-94"
"60-79","","16","00-39",""
"80-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"95-99","95-99","TR","95-99","95-99"
"Qualify Rating","E"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","21"
"Top 5","0","","DNF","18"
"E","E","","E","E"
"SPEED","SHORT","","SUPER","ROAD"
"","","10","",""
"","00-39","11","",""
"","40-59","12","","00-39"
"","60-79","13","","40-59"
"00-39","80-94","14","","60-79"
"40-59","","15","","80-94"
"60-79","","16","00-39",""
"80-94","","17","40-59",""
"","","18","60-79",""
"","","19","80-94",""
"","","20","",""
"95-99","95-99","TR","95-99","95-99"
"Qualify Rating","D"
"Trouble Rating","E"
"Poles","0","","Top 10","0"
"Wins","0","","Races","36"
"Top 5","0","","DNF","35"
